Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (12008-CROSS KEYS),946236,5579,12008,788.40,36,36,21.90,102.27,14.98,39.46,0.00,0.00,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1682.03,77,77,21.84,207.85,75.04,348.42,0.00,0.00,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (18170-NO WOODBURY),946241,5579,18170,1197.04,55,55,21.76,154.00,7.19,15.77,3.00,55.58,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (18576-WINSLOW),946252,5579,18576,1117.10,47,46,23.77,154.15,22.77,78.34,3.00,3.39,USD
Day of 2024-09-08,2024-09-08,2024-09-08,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1222.51,59,59,20.72,150.64,0.00,0.00,0.00,0.00,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,511.23,24,23,21.30,63.91,0.00,0.00,0.00,0.00,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (2401-TURNERSVILLE),946258,5579,2401,440.06,22,22,20.00,56.06,0.00,0.00,3.00,18.77,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (4592-OCEAN CITY),659406,5579,4592,236.28,11,11,21.48,31.26,0.00,0.00,3.00,18.16,USD
Day of 2024-09-08,2024-09-08,2024-09-08,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1505.60,66,66,22.81,195.67,7.79,15.58,6.00,56.24,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (12008-CROSS KEYS),946236,5579,12008,888.54,39,39,22.78,116.68,7.19,22.07,0.00,0.00,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1376.43,65,65,21.18,173.40,34.76,146.23,6.00,24.81,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (18170-NO WOODBURY),946241,5579,18170,1053.99,50,50,21.08,137.69,0.00,0.00,3.00,21.27,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (18576-WINSLOW),946252,5579,18576,1429.44,66,65,21.66,202.42,0.00,0.00,0.00,0.00,USD
Day of 2024-09-07,2024-09-07,2024-09-07,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1135.84,58,58,19.58,139.80,7.19,25.45,3.00,35.69,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,347.18,17,17,20.42,43.11,0.00,0.00,3.00,11.69,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (2401-TURNERSVILLE),946258,5579,2401,745.60,33,33,22.59,95.52,7.19,35.55,0.00,0.00,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (4592-OCEAN CITY),659406,5579,4592,423.04,14,14,30.22,56.23,0.00,0.00,0.00,0.00,USD
Day of 2024-09-07,2024-09-07,2024-09-07,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1712.95,77,77,22.25,227.22,7.19,22.46,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (12008-CROSS KEYS),946236,5579,12008,542.18,31,31,17.49,68.49,0.00,0.00,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2180.84,104,104,20.97,273.19,94.95,411.73,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (18170-NO WOODBURY),946241,5579,18170,1009.39,55,55,18.35,126.76,7.79,22.56,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (18576-WINSLOW),946252,5579,18576,1129.29,53,52,21.31,152.46,29.96,101.65,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,969.08,54,54,17.95,118.20,29.36,105.91,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,447.48,19,19,23.55,54.27,7.19,26.17,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (2401-TURNERSVILLE),946258,5579,2401,298.61,15,15,19.91,39.13,0.00,0.00,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (4592-OCEAN CITY),659406,5579,4592,278.88,12,12,23.24,36.28,0.00,0.00,0.00,0.00,USD
Day of 2024-09-06,2024-09-06,2024-09-06,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1472.68,66,65,22.31,197.80,0.00,0.00,0.00,0.00,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (12008-CROSS KEYS),946236,5579,12008,550.95,29,29,19.00,70.07,7.19,31.29,3.00,12.05,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1658.84,88,88,18.85,210.03,58.09,249.40,6.00,49.66,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (18170-NO WOODBURY),946241,5579,18170,1067.06,55,55,19.40,136.12,7.79,24.27,6.00,28.18,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (18576-WINSLOW),946252,5579,18576,1147.14,53,53,21.64,159.08,23.44,111.56,3.00,40.18,USD
Day of 2024-09-05,2024-09-05,2024-09-05,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,611.42,27,27,22.65,75.49,7.19,28.06,0.00,0.00,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,776.72,33,33,23.54,95.15,0.00,0.00,0.00,0.00,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (2401-TURNERSVILLE),946258,5579,2401,564.92,29,29,19.48,74.19,7.19,22.37,0.00,0.00,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (4592-OCEAN CITY),659406,5579,4592,285.62,11,10,25.97,35.22,14.38,102.74,0.00,0.00,USD
Day of 2024-09-05,2024-09-05,2024-09-05,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1111.09,51,51,21.79,146.78,7.79,21.37,3.00,24.48,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (12008-CROSS KEYS),946236,5579,12008,611.20,29,29,21.08,80.87,0.00,0.00,0.00,0.00,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1126.39,65,65,17.33,145.76,28.58,115.92,0.00,0.00,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (18170-NO WOODBURY),946241,5579,18170,1482.22,66,65,22.46,192.61,7.79,42.30,3.00,48.07,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (18576-WINSLOW),946252,5579,18576,882.52,47,47,18.78,120.19,25.68,104.49,0.00,0.00,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,922.76,38,37,24.28,119.11,5.99,51.51,3.00,20.98,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (2401-TURNERSVILLE),946258,5579,2401,549.35,23,23,23.88,73.23,0.00,0.00,0.00,0.00,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (4592-OCEAN CITY),659406,5579,4592,136.32,8,8,17.04,17.69,0.00,0.00,0.00,0.00,USD
Day of 2024-09-04,2024-09-04,2024-09-04,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1282.16,64,63,20.03,164.06,14.98,42.34,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (12008-CROSS KEYS),946236,5579,12008,295.67,18,18,16.43,39.82,0.00,0.00,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1149.42,57,57,20.17,146.91,43.07,196.26,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (18170-NO WOODBURY),946241,5579,18170,864.74,45,45,19.22,111.24,7.79,24.27,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (18576-WINSLOW),946252,5579,18576,910.14,49,49,18.57,120.23,53.33,244.69,3.00,26.06,USD
Day of 2024-09-03,2024-09-03,2024-09-03,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,766.53,37,37,20.72,93.41,7.19,39.93,3.00,6.19,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,342.03,16,16,21.38,42.67,7.19,22.08,3.00,35.26,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (2401-TURNERSVILLE),946258,5579,2401,469.72,22,22,21.35,62.89,0.00,0.00,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (4592-OCEAN CITY),659406,5579,4592,205.89,10,10,20.59,27.32,0.00,0.00,0.00,0.00,USD
Day of 2024-09-03,2024-09-03,2024-09-03,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1263.29,52,52,24.29,166.85,7.19,34.82,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (12008-CROSS KEYS),946236,5579,12008,459.29,23,23,19.97,60.69,7.19,33.83,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1663.90,73,73,22.79,210.36,63.50,332.46,3.00,19.98,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (18170-NO WOODBURY),946241,5579,18170,1248.69,53,53,23.56,159.47,7.79,30.72,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (18576-WINSLOW),946252,5579,18576,1139.25,52,51,21.91,158.34,35.95,193.99,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1246.36,56,56,22.26,152.63,7.19,65.36,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,463.94,20,20,23.20,56.71,7.19,29.77,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (2401-TURNERSVILLE),946258,5579,2401,389.57,17,17,22.92,50.44,7.19,19.16,0.00,0.00,USD
Day of 2024-09-02,2024-09-02,2024-09-02,McDonald's (4592-OCEAN CITY),659406,5579,4592,515.81,19,19,27.15,62.22,7.79,69.31,0.00,0.00,USD
