Granularity,Start Date,End Date,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only)
Day of 2025-09-08,2025-09-08,2025-09-08,8440.06,400,398,21.10,1019.77,1011.37,4430.89,12.00,79.54
Day of 2025-09-07,2025-09-07,2025-09-07,12681.52,575,574,22.05,1536.29,1313.41,5504.53,15.00,107.32
Day of 2025-09-06,2025-09-06,2025-09-06,12943.85,577,576,22.43,1553.69,1401.06,5559.48,30.00,238.04
Day of 2025-09-05,2025-09-05,2025-09-05,12362.71,566,561,21.84,1506.04,1213.75,4923.52,15.00,86.35
Day of 2025-09-04,2025-09-04,2025-09-04,10623.96,496,495,21.42,1301.59,984.76,4042.72,9.00,89.53
Day of 2025-09-03,2025-09-03,2025-09-03,9789.21,469,469,20.87,1204.70,907.35,3537.73,12.00,86.56
Day of 2025-09-02,2025-09-02,2025-09-02,10424.86,493,492,21.15,1312.65,682.08,2833.57,6.00,26.84
Day of 2025-09-01,2025-09-01,2025-09-01,13139.98,582,577,22.58,1600.97,1249.79,5063.23,9.00,90.26
Day of 2025-08-31,2025-08-31,2025-08-31,15202.61,674,672,22.56,1848.79,1501.43,5968.61,24.00,183.05
Day of 2025-08-30,2025-08-30,2025-08-30,13655.69,610,607,22.39,1656.41,1312.02,5519.53,30.00,301.50
Day of 2025-08-29,2025-08-29,2025-08-29,15540.29,684,682,22.72,1791.31,2230.96,11702.21,36.00,333.63
Day of 2025-08-28,2025-08-28,2025-08-28,12481.10,563,560,22.17,1443.16,1741.09,8971.78,36.00,273.66
Day of 2025-08-27,2025-08-27,2025-08-27,11471.64,529,526,21.69,1337.67,1689.46,8543.22,24.00,165.87
Day of 2025-08-26,2025-08-26,2025-08-26,10686.89,523,519,20.43,1230.93,1651.48,7734.02,30.00,257.38
Day of 2025-08-25,2025-08-25,2025-08-25,11038.69,523,522,21.11,1269.91,1501.99,7723.34,33.00,274.17
Day of 2025-08-24,2025-08-24,2025-08-24,13019.71,570,567,22.84,1515.72,1770.85,9614.95,15.00,101.16
Day of 2025-08-23,2025-08-23,2025-08-23,12798.19,584,582,21.91,1470.38,1893.45,9500.56,3.00,21.18
Day of 2025-08-22,2025-08-22,2025-08-22,13412.57,612,609,21.92,1557.54,1839.15,9806.89,15.00,157.22
Day of 2025-08-21,2025-08-21,2025-08-21,12442.48,581,581,21.42,1438.70,1779.38,9119.72,0.00,0.00
Day of 2025-08-20,2025-08-20,2025-08-20,10980.23,511,511,21.49,1270.63,1523.57,7800.18,0.00,0.00
Day of 2025-08-19,2025-08-19,2025-08-19,10328.94,496,495,20.82,1206.82,1401.02,7122.82,6.00,30.44
Day of 2025-08-18,2025-08-18,2025-08-18,10994.05,514,514,21.39,1261.52,1706.85,8643.07,6.00,60.25
Day of 2025-08-17,2025-08-17,2025-08-17,14037.12,594,592,23.63,1610.86,2055.00,11755.31,3.00,14.05
Day of 2025-08-16,2025-08-16,2025-08-16,13018.63,573,571,22.72,1490.45,2006.30,11074.57,12.00,112.59
Day of 2025-08-15,2025-08-15,2025-08-15,13384.88,586,585,22.84,1536.40,2022.41,11310.48,3.00,19.38
Day of 2025-08-14,2025-08-14,2025-08-14,12593.56,568,568,22.17,1437.92,1963.00,10721.45,3.00,16.12
Day of 2025-08-13,2025-08-13,2025-08-13,11905.36,537,532,22.17,1374.15,1848.56,10139.00,0.00,0.00
Day of 2025-08-12,2025-08-12,2025-08-12,10835.76,485,482,22.34,1245.90,1626.94,8890.76,6.00,73.62
Day of 2025-08-11,2025-08-11,2025-08-11,10097.75,475,473,21.26,1212.36,1217.94,7201.86,0.00,0.00
Day of 2025-08-10,2025-08-10,2025-08-10,10991.08,487,485,22.57,1335.15,1352.03,7930.80,0.00,0.00
Day of 2025-08-09,2025-08-09,2025-08-09,13533.72,590,587,22.94,1600.46,1732.40,10096.33,3.00,22.95
Day of 2025-08-08,2025-08-08,2025-08-08,12284.01,544,542,22.58,1473.63,1663.94,9464.52,18.00,97.08
Day of 2025-08-07,2025-08-07,2025-08-07,11917.12,560,558,21.28,1417.52,1525.07,8683.32,6.00,73.71
Day of 2025-08-06,2025-08-06,2025-08-06,10472.58,505,503,20.74,1278.07,1243.59,7806.15,0.00,0.00
Day of 2025-08-05,2025-08-05,2025-08-05,9688.04,469,468,20.66,1170.70,1198.56,6829.89,6.00,50.02
Day of 2025-08-04,2025-08-04,2025-08-04,12046.05,555,552,21.70,1459.42,1373.60,7780.16,6.00,34.36
Day of 2025-08-03,2025-08-03,2025-08-03,12718.79,571,571,22.27,1535.05,1464.64,7038.49,12.00,50.49
Day of 2025-08-02,2025-08-02,2025-08-02,13222.34,594,590,22.26,1612.75,1337.77,6821.44,6.00,53.22
Day of 2025-08-01,2025-08-01,2025-08-01,14806.23,670,665,22.10,1794.00,1642.36,7828.72,9.00,41.23
Day of 2025-07-31,2025-07-31,2025-07-31,13714.16,622,621,22.05,1638.52,1610.99,7234.21,253.65,1117.12
Day of 2025-07-30,2025-07-30,2025-07-30,13369.36,616,615,21.70,1523.75,2243.91,8167.52,367.29,1576.51
Day of 2025-07-29,2025-07-29,2025-07-29,12126.66,537,535,22.58,1400.68,1868.61,6984.06,282.69,1194.70
Day of 2025-07-28,2025-07-28,2025-07-28,12622.04,577,577,21.88,1438.91,2115.33,7470.91,330.93,1580.34
Day of 2025-07-27,2025-07-27,2025-07-27,15328.65,667,664,22.98,1743.63,2523.46,9848.11,27.00,233.12
Day of 2025-07-26,2025-07-26,2025-07-26,14834.93,653,653,22.72,1701.77,2276.75,8825.44,33.00,323.96
Day of 2025-07-25,2025-07-25,2025-07-25,14260.20,654,649,21.80,1636.16,2249.21,8501.74,15.00,123.09
Day of 2025-07-24,2025-07-24,2025-07-24,14846.94,665,663,22.33,1718.68,2258.50,8364.48,30.00,259.55
Day of 2025-07-23,2025-07-23,2025-07-23,12316.96,564,556,21.84,1457.41,1556.44,7435.90,3.00,20.68
Day of 2025-07-22,2025-07-22,2025-07-22,10667.59,510,503,20.92,1291.68,1173.54,5697.96,6.00,23.35
Day of 2025-07-21,2025-07-21,2025-07-21,11492.45,554,552,20.74,1377.49,1420.64,6520.98,0.00,0.00
Day of 2025-07-20,2025-07-20,2025-07-20,12915.89,572,568,22.58,1562.41,1555.27,7699.18,18.00,153.03
Day of 2025-07-19,2025-07-19,2025-07-19,12998.64,590,590,22.03,1566.77,1469.21,7410.90,42.00,345.19
Day of 2025-07-18,2025-07-18,2025-07-18,15132.46,664,663,22.79,1812.46,1756.11,8780.36,39.00,281.73
Day of 2025-07-17,2025-07-17,2025-07-17,12140.85,558,556,21.76,1467.23,1336.23,6670.04,36.00,235.75
Day of 2025-07-16,2025-07-16,2025-07-16,12111.47,572,568,21.17,1448.79,1535.66,7336.59,12.00,63.14
Day of 2025-07-15,2025-07-15,2025-07-15,11402.82,525,524,21.72,1362.88,1398.36,6736.89,6.00,26.27
Day of 2025-07-14,2025-07-14,2025-07-14,12051.75,571,568,21.11,1452.29,1371.78,6742.67,12.00,90.64
Day of 2025-07-13,2025-07-13,2025-07-13,14604.50,653,649,22.37,1755.20,1739.09,8803.14,18.00,193.00
Day of 2025-07-12,2025-07-12,2025-07-12,14332.81,654,651,21.92,1716.43,1741.13,8612.03,39.00,215.06
Day of 2025-07-11,2025-07-11,2025-07-11,15412.95,700,699,22.02,1852.47,1786.85,8713.66,42.00,341.75
