Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (12008-CROSS KEYS),946236,5579,12008,841.17,43,43,19.56,100.17,111.68,403.70,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1543.01,74,72,20.85,182.00,229.43,1212.62,6.00,56.01,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (18170-NO WOODBURY),946241,5579,18170,1038.31,50,50,20.77,120.44,130.06,495.56,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (18576-WINSLOW),946252,5579,18576,1146.53,54,54,21.23,149.43,126.17,576.46,6.00,23.53,USD
Day of 2025-09-08,2025-09-08,2025-09-08,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1083.01,47,47,23.04,131.00,109.61,440.75,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,624.60,29,29,21.54,70.44,77.82,277.20,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (2401-TURNERSVILLE),946258,5579,2401,524.23,28,28,18.72,63.15,66.97,312.94,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (4592-OCEAN CITY),659406,5579,4592,180.65,8,8,22.58,19.63,35.66,161.99,0.00,0.00,USD
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1470.34,68,68,21.62,183.51,123.97,549.67,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (12008-CROSS KEYS),946236,5579,12008,1217.21,56,56,21.74,145.35,141.15,530.67,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2160.91,105,105,20.58,256.32,223.51,980.11,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (18170-NO WOODBURY),946241,5579,18170,1483.05,67,67,22.14,179.92,152.33,619.44,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (18576-WINSLOW),946252,5579,18576,1872.18,83,82,22.56,243.21,202.11,827.73,3.00,14.38,USD
Day of 2025-09-07,2025-09-07,2025-09-07,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1269.98,58,58,21.90,150.66,113.86,408.12,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,626.25,25,25,25.05,70.34,78.05,367.81,3.00,48.12,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (2401-TURNERSVILLE),946258,5579,2401,1104.68,47,47,23.50,135.13,88.40,369.75,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (4592-OCEAN CITY),659406,5579,4592,460.60,20,20,23.03,51.84,65.17,237.99,0.00,0.00,USD
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,2486.66,114,114,21.81,303.52,248.83,1162.91,9.00,44.82,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (12008-CROSS KEYS),946236,5579,12008,1430.99,63,63,22.71,169.31,155.60,615.41,0.00,0.00,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2138.98,108,108,19.81,249.66,246.47,948.90,12.00,55.40,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (18170-NO WOODBURY),946241,5579,18170,1578.98,66,66,23.92,187.86,156.05,631.53,0.00,0.00,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (18576-WINSLOW),946252,5579,18576,1662.33,70,69,23.75,211.49,195.74,784.78,3.00,38.57,USD
Day of 2025-09-06,2025-09-06,2025-09-06,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1151.03,54,54,21.32,134.84,120.33,457.73,3.00,6.19,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,876.87,36,36,24.36,106.56,67.85,298.54,0.00,0.00,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (2401-TURNERSVILLE),946258,5579,2401,966.06,41,41,23.56,107.01,149.06,586.77,6.00,61.64,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (4592-OCEAN CITY),659406,5579,4592,465.15,20,20,23.26,57.66,41.81,153.99,0.00,0.00,USD
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,2724.06,122,122,22.33,329.30,268.15,1081.83,6.00,76.24,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (12008-CROSS KEYS),946236,5579,12008,924.19,41,41,22.54,109.87,98.62,380.54,0.00,0.00,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2393.90,115,113,20.82,290.11,234.54,978.91,6.00,39.92,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (18170-NO WOODBURY),946241,5579,18170,1625.37,79,79,20.57,196.29,158.16,636.43,0.00,0.00,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (18576-WINSLOW),946252,5579,18576,1934.94,87,85,22.24,249.84,206.72,737.34,3.00,13.69,USD
Day of 2025-09-05,2025-09-05,2025-09-05,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1525.68,68,68,22.44,185.60,121.36,559.02,3.00,21.07,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,886.85,39,39,22.74,106.36,50.61,202.46,3.00,11.67,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (2401-TURNERSVILLE),946258,5579,2401,727.95,31,31,23.48,82.60,116.44,473.40,0.00,0.00,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (4592-OCEAN CITY),659406,5579,4592,279.42,12,11,23.29,31.48,32.72,135.82,0.00,0.00,USD
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,2091.47,96,96,21.79,253.89,194.58,819.60,0.00,0.00,USD
Day of 2025-09-04,2025-09-04,2025-09-04,McDonald's (12008-CROSS KEYS),946236,5579,12008,1248.74,64,64,19.51,147.66,155.52,563.59,0.00,0.00,USD
