Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments (for historical reference only),Net total (for historical reference only),Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-09-02,USD,Marketplace,12225.16,720.26,-1409.92,0.00,-1404.50,0.00,0.00,0.00,-165.99,21.30,9986.31,10908.09,0.00,404084538,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-09-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.21,56.21,0.00,0.00,404084538,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-26,USD,Marketplace,11241.81,681.69,-1352.73,0.00,-1004.24,0.00,0.00,0.00,-160.76,0.00,9405.77,10310.51,0.00,402517009,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-26,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.33,217.33,0.00,0.00,402517009,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-19,USD,Marketplace,11907.50,746.73,-1470.44,0.00,-660.67,0.00,0.00,0.00,-247.89,5.00,10280.23,11278.77,0.00,401060891,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-19,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.54,51.54,0.00,0.00,401060891,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-12,USD,Marketplace,10307.01,678.37,-1333.32,0.00,-67.11,0.00,0.00,0.00,-172.51,16.72,9429.16,10239.90,0.00,399614288,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-12,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.79,216.79,0.00,0.00,399614288,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-05,USD,Marketplace,10514.81,688.57,-1346.12,0.00,-121.64,0.00,0.00,0.00,-151.92,7.71,9591.41,10393.17,0.00,398150096,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-08-05,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.58,59.58,0.00,0.00,398150096,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-29,USD,Marketplace,11916.88,773.13,-1517.59,0.00,-245.08,0.00,0.00,0.00,-277.98,3.66,10653.02,11687.38,0.00,396679395,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-29,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.87,54.87,0.00,0.00,396679395,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-22,USD,Marketplace,10974.19,721.01,-1407.47,0.00,-91.08,0.00,0.00,0.00,-130.97,3.37,10069.05,10883.11,0.00,395244841,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-22,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.05,54.05,0.00,0.00,395244841,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-15,USD,Marketplace,10810.74,703.88,-1373.24,0.00,-186.94,0.00,0.00,0.00,-301.48,5.29,9658.25,10639.38,0.00,393831793,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2024-07-15,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.92,61.92,0.00,0.00,393831793,PAID
