Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2024-05-09,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,19.16,7.19,0.00,0.00,0.00,0.00,0.00,19.16,2.66,0,0,1,0,0,0
2024-05-10,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,27.27,5.79,0.00,0.00,0.00,0.00,0.00,27.27,4.71,0,1,1,0,1,1
2024-05-10,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,6,210.51,34.74,0.00,0.00,0.00,0.00,0.00,35.09,6.06,0,6,6,0,4,4
2024-05-10,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,36.37,5.79,0.00,0.00,0.00,0.00,0.00,36.37,6.28,0,1,1,0,1,1
2024-05-11,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,8,208.85,46.32,0.00,0.00,0.00,0.00,0.00,26.11,4.51,0,8,8,0,5,5
2024-05-11,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,19.78,5.79,0.00,0.00,0.00,0.00,0.00,19.78,3.42,0,1,1,0,0,0
2024-05-11,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,77.91,14.98,0.00,0.00,0.00,0.00,0.00,38.96,5.20,0,0,2,0,0,1
2024-05-12,false,a37a5816-bd10-4e3c-815d-a4b5ac1c0d90,mcd-freeitem-051024-051924-allcx-C,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,22.67,5.79,0.00,0.00,0.00,0.00,0.00,22.67,3.92,1,0,1,0,0,0
2024-05-12,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,11,282.11,63.69,0.00,0.00,0.00,0.00,0.00,25.65,4.43,0,11,11,0,10,10
2024-05-12,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,71.77,11.58,0.00,0.00,0.00,0.00,0.00,35.89,6.20,0,2,2,0,1,1
2024-05-13,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,18.87,5.79,0.00,0.00,0.00,0.00,0.00,18.87,3.26,0,1,1,0,1,1
2024-05-13,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,10,281.91,57.90,0.00,0.00,0.00,0.00,0.00,28.19,4.87,0,10,10,0,9,9
2024-05-13,false,a37a5816-bd10-4e3c-815d-a4b5ac1c0d90,mcd-freeitem-051024-051924-allcx-C,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,24.86,5.79,0.00,0.00,0.00,0.00,0.00,24.86,4.29,0,1,1,0,1,1
2024-05-13,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,20.07,7.79,0.00,0.00,0.00,0.00,0.00,20.07,2.58,0,0,1,0,0,0
2024-05-13,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,34.67,5.79,0.00,0.00,0.00,0.00,0.00,34.67,5.99,0,1,1,0,0,0
2024-05-14,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,83.55,14.98,0.00,0.00,0.00,0.00,0.00,41.78,5.58,0,0,2,0,0,0
2024-05-14,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,18.87,5.79,0.00,0.00,0.00,0.00,0.00,18.87,3.26,0,1,1,0,1,1
2024-05-14,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,105.69,23.16,0.00,0.00,0.00,0.00,0.00,26.42,4.56,0,4,4,0,2,2
