Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2025-05-09,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,23.56,7.19,0.00,0.00,0.00,0.00,0.00,23.56,3.28,0,1,1,0,0,0
2025-05-09,false,00cbd9a5-858c-4e71-9f79-cfef44349bd7,mcd-freemedfry15-050825-051125-allcx,Custom campaign,2025-05-08,2025-05-12,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,12,257.30,58.68,0.00,0.00,0.00,0.00,0.00,21.44,4.38,0,11,12,0,8,8
2025-05-10,false,00cbd9a5-858c-4e71-9f79-cfef44349bd7,mcd-freemedfry15-050825-051125-allcx,Custom campaign,2025-05-08,2025-05-12,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,17,463.28,83.13,0.00,0.00,0.00,0.00,0.00,27.25,5.57,0,17,17,0,14,14
2025-05-10,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,7,202.05,50.33,0.00,0.00,0.00,0.00,0.00,28.86,4.01,3,4,7,2,4,6
2025-05-11,false,00cbd9a5-858c-4e71-9f79-cfef44349bd7,mcd-freemedfry15-050825-051125-allcx,Custom campaign,2025-05-08,2025-05-12,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,8,243.79,39.12,0.00,0.00,0.00,0.00,0.00,30.47,6.23,0,8,8,0,5,5
2025-05-11,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,103.30,21.57,0.00,0.00,0.00,0.00,0.00,34.43,4.79,0,3,3,0,2,2
2025-05-12,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,21.36,7.19,0.00,0.00,0.00,0.00,0.00,21.36,2.97,0,1,1,0,0,0
2025-05-12,false,00cbd9a5-858c-4e71-9f79-cfef44349bd7,mcd-freemedfry15-050825-051125-allcx,Custom campaign,2025-05-08,2025-05-12,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,47.01,9.78,0.00,0.00,0.00,0.00,0.00,23.51,4.81,0,2,2,0,1,1
2025-05-13,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,41.52,14.38,0.00,0.00,0.00,0.00,0.00,20.76,2.89,0,2,2,0,1,1
2025-05-14,false,0fecec79-7cde-427c-b38a-cf8ac279e8c8,mcd-free10pc15-050925-053125-newcx-lapsed,Custom campaign,2025-05-09,2025-06-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,62.80,14.38,0.00,0.00,0.00,0.00,0.00,31.40,4.37,1,0,2,1,0,1
